the_geom,cartodb_id,ratio,sum,people_total_f,people_total_m,people_total,village,site_id
,117,0.318983768525053,452.00,1493,1417,"2,910.00",陽明里,板橋區
,118,0.263593380614657,446.00,1841,1692,"3,533.00",朝陽里,板橋區
,119,0.287828947368421,350.00,1217,1216,"2,433.00",松柏里,板橋區
,120,0.29873417721519,590.00,2043,1975,"4,018.00",文聖里,板橋區
,121,0.306110458284371,521.00,1741,1702,"3,443.00",居仁里,板橋區
,122,0.341743119266055,745.00,2304,2180,"4,484.00",莊敬里,板橋區
,123,0.228300510576222,313.00,1435,1371,"2,806.00",東安里,板橋區
,124,0.264150943396226,588.00,2231,2226,"4,457.00",五權里,板橋區
,125,0.270187165775401,"2,021.00",7628,7480,"15,108.00",溪福里,板橋區
,126,0.245411641321447,468.00,2025,1907,"3,932.00",大觀里,板橋區
,127,0.170391061452514,122.00,675,716,"1,391.00",歡園里,板橋區
,128,0.292374412721359,809.00,2820,2767,"5,587.00",大有里,三重區
,129,0.24537037037037,212.00,850,864,"1,714.00",二重里,三重區
,130,0.264415156507414,321.00,1182,1214,"2,396.00",頂崁里,三重區
,131,0.221804511278195,118.00,472,532,"1,004.00",谷王里,三重區
,132,0.27775012444002,558.00,1976,2009,"3,985.00",中興里,三重區
,133,0.184615384615385,36.00,205,195,400.00,德厚里,三重區
,134,0.328,"1,025.00",3383,3125,"6,508.00",成功里,三重區
,135,0.342746205435934,971.00,2995,2833,"5,828.00",福祉里,三重區
,136,0.264417845484222,486.00,1863,1838,"3,701.00",福民里,三重區
,137,0.218167996959331,"1,148.00",4356,5262,"9,618.00",過田里,三重區
,138,0.281651376146789,307.00,1111,1090,"2,201.00",錦田里,三重區
,139,0.30531914893617,574.00,1966,1880,"3,846.00",重明里,三重區
,140,0.313047285464098,715.00,2374,2284,"4,658.00",光田里,三重區
,141,0.331885856079404,"1,070.00",3282,3224,"6,506.00",光陽里,三重區
,142,0.26266416510319,560.00,2131,2132,"4,263.00",田心里,三重區
,143,0.309919571045576,578.00,1846,1865,"3,711.00",福田里,三重區
,144,0.292646172393008,971.00,3413,3318,"6,731.00",田中里,三重區
,145,0.27760152284264,875.00,3382,3152,"6,534.00",田安里,三重區
