site_id,village,0-6,6-12
內湖區,瑞陽里,534,277
內湖區,瑞光里,334,153
內湖區,五分里,1095,1013
內湖區,東湖里,592,478
內湖區,樂康里,772,512
內湖區,內溝里,342,246
內湖區,週美里,661,258
內湖區,行善里,494,230
內湖區,石潭里,309,132
內湖區,湖興里,595,306
內湖區,湖元里,409,203
內湖區,安湖里,640,606
內湖區,秀湖里,414,216
內湖區,安泰里,442,306
內湖區,金湖里,907,888
內湖區,康寧里,769,798
內湖區,明湖里,539,486
內湖區,蘆洲里,107,66
內湖區,麗山里,516,368
內湖區,寶湖里,940,439
內湖區,南湖里,535,586
士林區,仁勇里,292,217
士林區,義信里,222,175
士林區,福林里,221,139
士林區,福德里,322,219
士林區,福志里,517,321
士林區,舊佳里,406,224
士林區,福佳里,637,394
士林區,後港里,634,391
士林區,福中里,652,427
士林區,前港里,357,259
士林區,百齡里,635,377
士林區,承德里,390,243
士林區,福華里,472,279
士林區,明勝里,352,207
士林區,福順里,373,273
士林區,富光里,426,287
士林區,葫蘆里,657,446
士林區,葫東里,317,205
士林區,社子里,518,330
士林區,社新里,745,449
士林區,社園里,612,338
士林區,永倫里,658,232
士林區,福安里,317,172
士林區,富洲里,425,186
士林區,岩山里,215,166
士林區,名山里,488,344
士林區,德行里,311,222
士林區,德華里,372,224
士林區,聖山里,353,246
士林區,忠誠里,379,241
士林區,芝山里,530,386
士林區,東山里,289,262
士林區,三玉里,458,248
士林區,蘭雅里,620,403
士林區,蘭興里,475,319
士林區,天福里,428,393
士林區,天祿里,399,296
士林區,天壽里,393,295
士林區,天和里,522,471
士林區,天山里,433,398
士林區,天玉里,653,608
士林區,天母里,448,412
士林區,永福里,72,34
士林區,公館里,86,33
士林區,新安里,103,56
士林區,陽明里,160,67
士林區,菁山里,113,53
士林區,平等里,70,53
士林區,溪山里,88,55
士林區,翠山里,134,58
士林區,臨溪里,163,103
北投區,建民里,269,162
北投區,文林里,255,180
北投區,石牌里,388,214
北投區,福興里,578,553
北投區,榮光里,709,716
北投區,榮華里,546,344
北投區,裕民里,594,330
北投區,振華里,564,409
北投區,永和里,708,550
北投區,永欣里,620,482
北投區,永明里,425,421
北投區,東華里,295,303
北投區,吉利里,645,664
北投區,吉慶里,458,482
北投區,尊賢里,388,418
北投區,立賢里,430,484
北投區,立農里,667,697
北投區,八仙里,381,241
北投區,洲美里,195,103
北投區,奇岩里,685,323
北投區,清江里,536,332
北投區,中央里,677,371
北投區,長安里,408,260
北投區,大同里,413,272
北投區,溫泉里,430,259
北投區,林泉里,208,104
北投區,中心里,434,177
北投區,中庸里,325,150
北投區,開明里,419,192
北投區,中和里,399,195
北投區,智仁里,673,258
北投區,秀山里,254,111
北投區,文化里,482,226
北投區,豐年里,522,234
北投區,稻香里,340,176
北投區,桃源里,422,197
北投區,一德里,630,376
北投區,關渡里,890,493
北投區,泉源里,111,68
北投區,湖山里,107,40
北投區,大屯里,80,42
北投區,湖田里,58,18
