the_geom,cartodb_id,ratio,field_6,people_total_f,people_total_m,people_total,village,site_id
,179,4.03571428571429,224.00,916,904,"1,820.00",中央里,三重區
,180,4.42735042735043,117.00,510,518,"1,028.00",雙園里,三重區
,181,4.36206896551724,174.00,827,759,"1,586.00",錦通里,三重區
,182,4,230.00,996,920,"1,916.00",錦安里,三重區
,183,4.24452554744526,274.00,1170,1163,"2,333.00",長安里,三重區
,184,3.37458193979933,299.00,1015,1009,"2,024.00",光華里,三重區
,185,3.37777777777778,135.00,466,456,922.00,長生里,三重區
,186,3.58139534883721,215.00,780,770,"1,550.00",開元里,三重區
,187,3.98989898989899,99.00,438,395,833.00,大德里,三重區
,188,4.27035830618893,307.00,1288,1311,"2,599.00",長元里,三重區
,189,3.88363636363636,275.00,1083,1068,"2,151.00",長江里,三重區
,190,4.65625,256.00,1179,1192,"2,371.00",長泰里,三重區
,191,4.5606936416185,173.00,856,789,"1,645.00",長福里,三重區
,192,3.94838709677419,155.00,638,612,"1,250.00",介壽里,三重區
,193,3.92883895131086,267.00,1106,1049,"2,155.00",萬壽里,三重區
,194,4.63295880149813,267.00,1240,1237,"2,477.00",錦江里,三重區
,195,4.03588516746412,418.00,1793,1687,"3,480.00",龍濱里,三重區
,196,4.02845528455285,246.00,1030,991,"2,021.00",龍門里,三重區
,197,4.57317073170732,164.00,746,750,"1,496.00",秀江里,三重區
,198,3.92672413793103,232.00,939,911,"1,850.00",奕壽里,三重區
,199,3.75698324022346,358.00,1448,1345,"2,793.00",三安里,三重區
,200,40.5384615384615,39.00,1620,1581,"3,201.00",福安里,三重區
,201,2.3348623853211,436.00,1060,1018,"2,078.00",信安里,三重區
,202,3.56478405315615,301.00,1112,1073,"2,185.00",安慶里,三重區
,203,9.30830039525692,253.00,2435,2355,"4,790.00",幸福里,三重區
,204,3.15088282504013,623.00,1977,1963,"3,940.00",六合里,三重區
,205,6.05371900826446,484.00,3026,2930,"5,956.00",六福里,三重區
,206,1.54419191919192,792.00,1127,1223,"2,350.00",順德里,三重區
,207,4.04878048780488,246.00,974,996,"1,970.00",承德里,三重區
,208,5.2436974789916,238.00,1305,1248,"2,553.00",瑞德里,三重區
,209,8.2972972972973,259.00,2080,2149,"4,229.00",崇德里,三重區
,210,4.34318181818182,440.00,1964,1911,"3,875.00",厚德里,三重區
,211,2.85074626865672,536.00,1628,1528,"3,156.00",維德里,三重區
,212,4.33242506811989,367.00,1696,1590,"3,286.00",尚德里,三重區
,213,5.02551020408163,392.00,2012,1970,"3,982.00",培德里,三重區
,214,4.65499124343257,571.00,2738,2658,"5,396.00",永德里,三重區
,215,2.84124386252046,611.00,1836,1736,"3,572.00",永盛里,三重區
,216,7.01488833746898,403.00,3068,2827,"5,895.00",永福里,三重區
,217,4.5508607198748,639.00,3121,2908,"6,029.00",永清里,三重區
,218,3.17151162790698,688.00,2277,2182,"4,459.00",永安里,三重區
,219,2.75350701402806,499.00,1301,1374,"2,675.00",永煇里,三重區
,220,12.5139318885449,323.00,4280,4042,"8,322.00",溪美里,三重區
,221,2.12226277372263,"1,096.00",2507,2326,"4,833.00",福隆里,三重區
,222,3.36544342507645,654.00,2246,2201,"4,447.00",五常里,三重區
,223,3.83267716535433,508.00,2094,1947,"4,041.00",五福里,三重區
,224,2.97142857142857,560.00,1699,1664,"3,363.00",仁忠里,三重區
,225,3.74760383386582,313.00,1150,1173,"2,323.00",慈福里,三重區
,226,4.47744360902256,266.00,1237,1191,"2,428.00",慈生里,三重區
,227,4.24528301886793,265.00,1143,1125,"2,268.00",慈惠里,三重區
,228,6.83520599250936,267.00,1878,1825,"3,703.00",慈愛里,三重區
,229,3.26550868486352,403.00,1388,1316,"2,704.00",慈化里,三重區
,230,7.78504672897196,321.00,2509,2499,"5,008.00",慈祐里,三重區
,231,4.16984126984127,630.00,2842,2627,"5,469.00",五華里,三重區
,232,3.96911196911197,777.00,3387,3084,"6,471.00",富貴里,三重區
,233,1.51703056768559,"1,145.00",1656,1737,"3,393.00",富華里,三重區
,234,2.37020316027088,443.00,1110,1050,"2,160.00",富福里,三重區
,235,15.2532188841202,233.00,3873,3554,"7,427.00",碧華里,三重區
,236,0.685118619698059,"1,391.00",873,953,"1,826.00",五谷里,三重區
,237,9.20238095238095,252.00,2452,2319,"4,771.00",博愛里,三重區
,238,2.99845916795069,649.00,2188,1946,"4,134.00",福德里,三重區
,239,2.89598540145985,548.00,1695,1587,"3,282.00",永吉里,三重區
,240,8.24533333333333,375.00,3088,3092,"6,180.00",永發里,三重區
,241,2.69857433808554,982.00,2841,2650,"5,491.00",永順里,三重區
,242,4.86206896551724,638.00,3238,3102,"6,340.00",永豐里,三重區
,243,2.62109955423477,673.00,1848,1764,"3,612.00",立德里,三重區
,244,4.24839400428266,467.00,2000,1984,"3,984.00",福樂里,三重區
,245,4.90337078651685,445.00,2288,2182,"4,470.00",仁華里,三重區
,246,3.45771144278607,603.00,2076,2085,"4,161.00",五順里,三重區
,247,6.10044642857143,448.00,2805,2733,"5,538.00",中原里,中和區
,248,5.1542730299667,901.00,4973,4644,"9,617.00",平河里,中和區
,249,1.63928571428571,"1,400.00",2240,2295,"4,535.00",信和里,中和區
,250,3.86034482758621,580.00,2251,2239,"4,490.00",仁和里,中和區
,251,3.32385466034755,633.00,2204,2104,"4,308.00",中正里,中和區
,252,3.61196911196911,518.00,1920,1871,"3,791.00",建和里,中和區
,253,1.8801996672213,601.00,1358,1130,"2,488.00",連和里,中和區
,254,6.78270042194093,474.00,3496,3215,"6,711.00",連城里,中和區
,255,2.78351449275362,"1,104.00",3347,3073,"6,420.00",力行里,中和區
,256,51.5135135135135,37.00,1926,1906,"3,832.00",枋寮里,中和區
,257,1.63888888888889,"1,116.00",1929,1829,"3,758.00",漳和里,中和區
,258,3.49457364341085,645.00,2350,2254,"4,604.00",廟美里,中和區
,259,3.47532894736842,608.00,2188,2113,"4,301.00",福真里,中和區
,260,2.90523338048091,707.00,2281,2054,"4,335.00",福善里,中和區
,261,4.03886925795053,566.00,2358,2286,"4,644.00",福美里,中和區
,262,4.25974025974026,616.00,2722,2624,"5,346.00",福祥里,中和區
,263,4.34115805946792,639.00,2936,2774,"5,710.00",瓦󿾨里,中和區
,264,2.71142857142857,700.00,1930,1898,"3,828.00",福和里,中和區
,265,2.74308755760369,868.00,2569,2381,"4,950.00",佳和里,中和區
,266,2.92736486486487,592.00,1956,1733,"3,689.00",安樂里,中和區
,267,1.83734939759036,830.00,1680,1525,"3,205.00",安和里,中和區
,268,3.45968712394705,831.00,3157,2875,"6,032.00",安平里,中和區
,269,3.42763157894737,608.00,2363,2084,"4,447.00",中安里,中和區
,270,1.22614840989399,"1,415.00",1926,1735,"3,661.00",泰安里,中和區
