site_id,village,people_total,people_total_m,people_total_f,sum,ratio
區域別,村里,人口數,人口數-男,人口數-女,sum,ratio
三重區,永發里,"6,180.00",3092,3088,982.00,0.317593790426908
三重區,永順里,"5,491.00",2650,2841,638.00,0.240754716981132
三重區,永豐里,"6,340.00",3102,3238,673.00,0.216956802063185
三重區,立德里,"3,612.00",1764,1848,467.00,0.264739229024943
三重區,福樂里,"3,984.00",1984,2000,445.00,0.22429435483871
三重區,仁華里,"4,470.00",2182,2288,603.00,0.276351970669111
三重區,五順里,"4,161.00",2085,2076,448.00,0.214868105515588
中和區,中原里,"5,538.00",2733,2805,901.00,0.329674350530553
中和區,平河里,"9,617.00",4644,4973,"1,400.00",0.301464254952627
中和區,信和里,"4,535.00",2295,2240,580.00,0.252723311546841
中和區,仁和里,"4,490.00",2239,2251,633.00,0.282715497990174
中和區,中正里,"4,308.00",2104,2204,518.00,0.246197718631179
中和區,建和里,"3,791.00",1871,1920,601.00,0.321218599679316
中和區,連和里,"2,488.00",1130,1358,474.00,0.419469026548673
中和區,連城里,"6,711.00",3215,3496,"1,104.00",0.343390357698289
中和區,力行里,"6,420.00",3073,3347,"1,116.00",0.363163032866905
中和區,枋寮里,"3,832.00",1906,1926,645.00,0.338405036726128
中和區,漳和里,"3,758.00",1829,1929,608.00,0.332422088572991
中和區,廟美里,"4,604.00",2254,2350,707.00,0.313664596273292
中和區,福真里,"4,301.00",2113,2188,566.00,0.267865593942262
中和區,福善里,"4,335.00",2054,2281,616.00,0.299902629016553
中和區,福美里,"4,644.00",2286,2358,639.00,0.279527559055118
中和區,福祥里,"5,346.00",2624,2722,700.00,0.266768292682927
中和區,瓦󿾨里,"5,710.00",2774,2936,868.00,0.312905551550108
中和區,福和里,"3,828.00",1898,1930,592.00,0.31190727081138
中和區,佳和里,"4,950.00",2381,2569,830.00,0.348593028139437
中和區,安樂里,"3,689.00",1733,1956,831.00,0.479515291402193
中和區,安和里,"3,205.00",1525,1680,608.00,0.398688524590164
中和區,安平里,"6,032.00",2875,3157,"1,415.00",0.492173913043478
中和區,中安里,"4,447.00",2084,2363,"1,082.00",0.519193857965451
中和區,泰安里,"3,661.00",1735,1926,569.00,0.327953890489914
中和區,新南里,"8,487.00",3963,4524,"1,617.00",0.408024224072672
中和區,南山里,"5,476.00",2675,2801,"1,003.00",0.374953271028037
中和區,秀山里,"4,689.00",2254,2435,775.00,0.343833185448092
中和區,秀成里,"3,640.00",1783,1857,669.00,0.375210319685923
中和區,秀福里,"4,899.00",2366,2533,950.00,0.401521555367709
中和區,秀景里,"6,521.00",3214,3307,"1,187.00",0.369321717485999
中和區,秀明里,"5,157.00",2394,2763,961.00,0.401420217209691
中和區,秀峰里,"4,184.00",1942,2242,683.00,0.351699279093718
中和區,秀仁里,"3,360.00",1650,1710,577.00,0.34969696969697
中和區,頂南里,"3,180.00",1549,1631,532.00,0.343447385409942
中和區,華新里,"7,617.00",3677,3940,"1,099.00",0.298884960565679
中和區,東南里,"4,409.00",2160,2249,801.00,0.370833333333333
中和區,華南里,"5,246.00",2583,2663,913.00,0.353464963221061
中和區,忠孝里,"5,141.00",2557,2584,759.00,0.296832225263981
中和區,崇南里,"4,193.00",2027,2166,778.00,0.383818450912679
中和區,景南里,"3,340.00",1599,1741,497.00,0.310819262038774
中和區,橫路里,366.00,193,173,25.00,0.129533678756477
中和區,內南里,"5,355.00",2721,2634,788.00,0.289599411980889
中和區,壽南里,"2,501.00",1269,1232,375.00,0.295508274231678
中和區,外南里,"7,452.00",4169,3283,830.00,0.199088510434157
中和區,復興里,"5,434.00",2571,2863,796.00,0.309607156748347
中和區,和興里,"4,594.00",2205,2389,733.00,0.332426303854875
中和區,景平里,"5,651.00",2676,2975,"1,036.00",0.387144992526158
中和區,景新里,"3,731.00",1786,1945,551.00,0.308510638297872
中和區,景福里,"5,664.00",2668,2996,985.00,0.369190404797601
中和區,景安里,"4,907.00",2408,2499,894.00,0.371262458471761
中和區,景文里,"3,340.00",1639,1701,601.00,0.366687004270897
中和區,錦和里,"5,877.00",2874,3003,883.00,0.307237299930411
中和區,錦昌里,"2,413.00",1230,1183,413.00,0.335772357723577
中和區,灰󿾨里,843.00,443,400,86.00,0.194130925507901
中和區,積穗里,"8,481.00",4103,4378,"1,344.00",0.327565196197904
