statistic_yyy,site_id,village,edu_age_15up_total,edu_senior_ungraduated_m,edu_senior_ungraduated_f,sum_highschool
統計年,區域別,村里名稱,總計,高肄_男,高肄_女,sum_highschool
105,大同區,鄰江里,5927,424,445,869
105,大同區,至聖里,7352,485,557,1042
105,大同區,老師里,5409,405,417,822
105,大同區,重慶里,5970,322,425,747
105,大同區,保安里,3802,232,286,518
105,萬華區,福星里,5008,330,376,706
105,萬華區,萬壽里,3159,199,229,428
105,萬華區,西門里,3482,182,269,451
105,萬華區,新起里,6010,339,402,741
105,萬華區,菜園里,5574,411,444,855
105,萬華區,青山里,5330,380,391,771
105,萬華區,富民里,4658,329,334,663
105,萬華區,福音里,3453,229,285,514
105,萬華區,仁德里,4489,244,301,545
105,萬華區,富福里,5775,467,411,878
105,萬華區,頂碩里,6793,516,499,1015
105,萬華區,雙園里,4224,318,351,669
105,萬華區,新忠里,3234,171,200,371
105,萬華區,新和里,7914,388,593,981
105,萬華區,糖廍里,5081,395,346,741
105,萬華區,和平里,6421,502,505,1007
105,萬華區,綠堤里,4099,306,336,642
105,萬華區,華江里,7893,535,561,1096
105,萬華區,柳鄉里,4959,389,369,758
105,萬華區,日善里,3396,261,299,560
105,萬華區,新安里,5756,431,413,844
105,萬華區,忠德里,3963,307,286,593
105,萬華區,孝德里,3068,235,247,482
105,萬華區,和德里,6591,516,484,1000
105,萬華區,錦德里,5085,416,408,824
105,萬華區,全德里,3954,255,299,554
105,萬華區,保德里,3090,211,232,443
105,萬華區,銘德里,4331,327,378,705
105,萬華區,榮德里,3343,250,248,498
105,萬華區,壽德里,4758,345,374,719
105,萬華區,興德里,4351,333,334,667
105,萬華區,華中里,5730,458,427,885
105,萬華區,日祥里,5127,337,380,717
105,萬華區,忠貞里,4587,275,306,581
105,萬華區,凌霄里,3485,243,280,523
105,萬華區,騰雲里,2899,171,228,399
105,文山區,景行里,6302,331,491,822
105,文山區,景東里,6400,317,431,748
105,文山區,景美里,4602,215,299,514
105,文山區,景慶里,5912,358,433,791
105,文山區,景仁里,4154,207,257,464
105,文山區,景華里,5241,249,383,632
105,文山區,萬有里,4997,221,298,519
105,文山區,萬祥里,4104,198,272,470
105,文山區,萬隆里,6512,285,411,696
105,文山區,萬年里,4911,238,282,520
105,文山區,萬和里,3006,144,192,336
105,文山區,萬盛里,4377,215,265,480
105,文山區,興豐里,4455,223,283,506
105,文山區,興光里,3081,194,213,407
105,文山區,興家里,6839,429,484,913
105,文山區,興得里,5444,315,374,689
105,文山區,興業里,4965,252,311,563
105,文山區,興安里,5955,228,358,586
105,文山區,興福里,5211,295,387,682
105,文山區,興旺里,7519,417,557,974
105,文山區,興泰里,3612,189,257,446
105,文山區,興昌里,6101,254,326,580
105,文山區,試院里,6252,286,395,681
105,文山區,華興里,8009,437,525,962
105,文山區,明義里,3941,214,238,452
105,文山區,明興里,6349,344,442,786
105,文山區,木柵里,7983,333,511,844
105,文山區,木新里,9358,621,662,1283
105,文山區,順興里,6825,397,482,879
105,文山區,樟林里,7730,400,455,855
105,文山區,樟新里,4963,243,322,565
105,文山區,樟腳里,5092,324,350,674
105,文山區,萬芳里,7239,375,478,853
105,文山區,博嘉里,5220,304,352,656
105,文山區,萬興里,7460,318,419,737
105,文山區,指南里,3487,207,211,418
105,文山區,老泉里,827,82,71,153
105,文山區,忠順里,3750,153,245,398
105,文山區,萬美里,6736,361,473,834
105,文山區,政大里,6389,194,280,474
105,文山區,樟文里,5559,314,397,711
105,文山區,興邦里,4466,235,286,521
105,文山區,樟樹里,4416,266,339,605
105,南港區,南港里,5742,449,401,850
105,南港區,中南里,3423,256,280,536
105,南港區,新富里,3685,300,275,575
105,南港區,三重里,6202,286,339,625
105,南港區,東新里,6621,472,514,986
105,南港區,新光里,3450,209,253,462
105,南港區,東明里,4218,237,269,506
105,南港區,西新里,4357,357,326,683
105,南港區,玉成里,4425,293,346,639
105,南港區,合成里,6352,428,498,926
105,南港區,成福里,6967,453,490,943
105,南港區,萬福里,3942,263,300,563
105,南港區,鴻福里,4228,276,351,627
105,南港區,百福里,4944,348,387,735
105,南港區,聯成里,4707,279,351,630
105,南港區,舊莊里,8384,689,682,1371
105,南港區,中研里,8447,494,552,1046
105,南港區,九如里,5804,376,419,795
105,南港區,仁福里,5132,290,426,716
105,南港區,重陽里,4646,195,266,461
105,內湖區,西湖里,6755,399,514,913
105,內湖區,西康里,8586,412,538,950
105,內湖區,西安里,6090,268,452,720
105,內湖區,港墘里,5477,258,364,622
