statistic_yyymm,site_id,village,people_total,people_total_m,people_total_f
統計年月,區域別,村里,人口數,人口數-男,人口數-女
10509,中和區,灰󿾨里,843,443,400
10509,中和區,積穗里,8481,4103,4378
10509,中和區,民享里,2611,1281,1330
10509,中和區,員山里,6836,3335,3501
10509,中和區,嘉穗里,2802,1400,1402
10509,中和區,文元里,5533,2696,2837
10509,中和區,嘉新里,4198,2086,2112
10509,中和區,民安里,5172,2576,2596
10509,中和區,安穗里,4796,2334,2462
10509,中和區,瑞穗里,2534,1180,1354
10509,中和區,明穗里,4777,2387,2390
10509,中和區,清穗里,3413,1737,1676
10509,中和區,自強里,5302,2620,2682
10509,中和區,德穗里,4692,2299,2393
10509,中和區,民生里,4372,2098,2274
10509,中和區,國光里,4098,2000,2098
10509,中和區,壽德里,4848,2330,2518
10509,中和區,明德里,4111,2023,2088
10509,中和區,秀水里,3882,1877,2005
10509,中和區,德行里,6941,3373,3568
10509,中和區,宜安里,1889,925,964
10509,中和區,安順里,4517,2119,2398
10509,中和區,秀義里,2747,1380,1367
10509,中和區,秀士里,2570,1255,1315
10509,中和區,興南里,3318,1613,1705
10509,中和區,景本里,2248,1082,1166
10509,中和區,福南里,4540,2156,2384
10509,中和區,中興里,7132,3435,3697
10509,中和區,吉興里,3146,1442,1704
10509,中和區,中山里,3020,1481,1539
10509,中和區,碧河里,4341,2137,2204
10509,中和區,錦中里,4414,2156,2258
10509,中和區,錦盛里,4120,2008,2112
10509,中和區,民有里,2910,1446,1464
10509,中和區,員富里,3542,1783,1759
10509,中和區,嘉慶里,4585,2286,2299
10509,中和區,冠穗里,3524,1784,1740
10509,中和區,國華里,3482,1737,1745
10509,中和區,正南里,3730,1871,1859
10509,中和區,正行里,3139,1499,1640
10509,永和區,福林里,3582,1741,1841
10509,永和區,文化里,2895,1381,1514
10509,永和區,豫溪里,4988,2556,2432
10509,永和區,光明里,3159,1428,1731
10509,永和區,仁愛里,2782,1323,1459
10509,永和區,永貞里,3659,1718,1941
10509,永和區,永福里,2903,1411,1492
10509,永和區,民治里,3072,1395,1677
10509,永和區,永成里,1052,516,536
10509,永和區,忠義里,859,446,413
10509,永和區,永元里,5057,2338,2719
10509,永和區,秀林里,3911,1905,2006
10509,永和區,保安里,7675,3660,4015
10509,永和區,中溪里,5332,2646,2686
10509,永和區,永安里,4382,2027,2355
10509,永和區,民族里,4917,2323,2594
10509,永和區,民權里,4850,2354,2496
10509,永和區,中興里,2982,1370,1612
10509,永和區,勵行里,1313,622,691
10509,永和區,秀朗里,4217,2053,2164
10509,永和區,秀成里,3083,1523,1560
10509,永和區,上溪里,2077,958,1119
10509,永和區,竹林里,3831,1840,1991
10509,永和區,雙和里,4130,1897,2233
10509,永和區,安和里,4128,1919,2209
10509,永和區,水源里,4305,2059,2246
10509,永和區,協和里,3062,1485,1577
10509,永和區,河堤里,3402,1626,1776
10509,永和區,頂溪里,2570,1228,1342
10509,永和區,潭墘里,4875,2216,2659
10509,永和區,潭安里,5105,2481,2624
10509,永和區,大新里,2738,1234,1504
10509,永和區,保平里,5134,2421,2713
10509,永和區,民本里,4270,2022,2248
10509,永和區,民樂里,5026,2455,2571
10509,永和區,光復里,1775,810,965
10509,永和區,復興里,2482,1186,1296
10509,永和區,福和里,5416,2544,2872
10509,永和區,得和里,4535,2126,2409
10509,永和區,智光里,3585,1742,1843
10509,永和區,新生里,890,455,435
10509,永和區,大同里,1002,514,488
10509,永和區,前溪里,2211,1021,1190
10509,永和區,和平里,5136,2456,2680
10509,永和區,新廍里,2323,1152,1171
10509,永和區,下溪里,4215,2054,2161
10509,永和區,秀和里,5240,2513,2727
10509,永和區,河濱里,3410,1658,1752
10509,永和區,民生里,4291,2001,2290
10509,永和區,秀得里,2873,1370,1503
10509,永和區,上林里,3714,1772,1942
10509,永和區,網溪里,1259,623,636
10509,永和區,正興里,2355,1070,1285
10509,永和區,永興里,3395,1605,1790
10509,永和區,桂林里,3907,1859,2048
10509,永和區,店街里,4353,1953,2400
10509,永和區,信義里,2702,1229,1473
10509,永和區,後溪里,1904,910,994
10509,永和區,民富里,3279,1601,1678
10509,永和區,秀元里,3285,1579,1706
10509,永和區,永樂里,2582,1178,1404
10509,永和區,保順里,10827,5090,5737
10509,新莊區,海山里,5694,2769,2925
10509,新莊區,頭前里,7653,3751,3902
10509,新莊區,國泰里,1645,840,805
10509,新莊區,全安里,4743,2286,2457
10509,新莊區,福基里,4416,2195,2221
10509,新莊區,豐年里,3940,1924,2016
10509,新莊區,忠孝里,5094,2498,2596
10509,新莊區,恆安里,4857,2360,2497
10509,新莊區,後港里,7432,3612,3820
10509,新莊區,文衡里,2259,1110,1149
10509,新莊區,中美里,6341,3077,3264
10509,新莊區,八德里,3282,1598,1684
10509,新莊區,興漢里,3728,1853,1875
10509,新莊區,中和里,4911,2410,2501
10509,新莊區,西盛里,11267,5597,5670
10509,新莊區,榮和里,4872,2865,2007
10509,新莊區,中泰里,4740,2349,2391
10509,新莊區,瓊林里,6329,3210,3119
10509,新莊區,文德里,1913,945,968
10509,新莊區,中誠里,2339,1160,1179
10509,新莊區,裕民里,7581,3773,3808
10509,新莊區,文明里,1958,933,1025
10509,新莊區,中港里,6817,3320,3497
10509,新莊區,富國里,2530,1271,1259
10509,新莊區,思源里,5774,2792,2982
10509,新莊區,立人里,2473,1214,1259
10509,新莊區,南港里,5545,2724,2821
10509,新莊區,仁愛里,2853,1390,1463
10509,新莊區,立德里,2704,1304,1400
10509,新莊區,信義里,5851,2814,3037
10509,新莊區,立言里,5458,2611,2847
10509,新莊區,民安里,6345,3067,3278
10509,新莊區,和平里,5045,2467,2578
10509,新莊區,立功里,3907,1897,2010
10509,新莊區,民本里,3195,1619,1576
10509,新莊區,化成里,3663,1844,1819
10509,新莊區,立志里,4206,2050,2156
10509,新莊區,光華里,7935,3880,4055
10509,新莊區,思賢里,4468,2209,2259
10509,新莊區,營盤里,2360,1201,1159
10509,新莊區,光榮里,4894,2382,2512
10509,新莊區,自強里,2847,1470,1377
10509,新莊區,丹鳳里,8523,4198,4325
10509,新莊區,光明里,4925,2388,2537
10509,新莊區,自立里,5767,2737,3030
10509,新莊區,合鳳里,4839,2430,2409
10509,新莊區,幸福里,4647,2260,2387
10509,新莊區,雙鳳里,11367,5627,5740
10509,新莊區,自信里,2675,1298,1377
10509,新莊區,龍鳳里,9413,4469,4944
10509,新莊區,中華里,2979,1465,1514
10509,新莊區,中隆里,4890,2376,2514
10509,新莊區,中原里,10604,5137,5467
10509,新莊區,中信里,9257,4495,4762
10509,新莊區,四維里,4922,2383,2539
10509,新莊區,建福里,2637,1321,1316
10509,新莊區,中宏里,3935,1945,1990
