site_id,village,0-6,6-12,all
區域別,村里,0-6,6-12,all
內湖區,港墘里,415,430,845
內湖區,港都里,447,420,867
內湖區,港富里,653,645,1298
內湖區,港華里,794,641,1435
內湖區,內湖里,361,186,547
內湖區,湖濱里,500,452,952
內湖區,紫星里,594,311,905
內湖區,大湖里,426,230,656
內湖區,金龍里,393,175,568
內湖區,金瑞里,474,378,852
內湖區,碧山里,457,371,828
內湖區,紫雲里,479,271,750
內湖區,清白里,649,390,1039
內湖區,葫洲里,703,644,1347
內湖區,紫陽里,634,275,909
內湖區,瑞陽里,534,277,811
內湖區,瑞光里,334,153,487
內湖區,五分里,1095,1013,2108
內湖區,東湖里,592,478,1070
內湖區,樂康里,772,512,1284
內湖區,內溝里,342,246,588
內湖區,週美里,661,258,919
內湖區,行善里,494,230,724
內湖區,石潭里,309,132,441
內湖區,湖興里,595,306,901
內湖區,湖元里,409,203,612
內湖區,安湖里,640,606,1246
內湖區,秀湖里,414,216,630
內湖區,安泰里,442,306,748
內湖區,金湖里,907,888,1795
內湖區,康寧里,769,798,1567
內湖區,明湖里,539,486,1025
內湖區,蘆洲里,107,66,173
內湖區,麗山里,516,368,884
內湖區,寶湖里,940,439,1379
內湖區,南湖里,535,586,1121
士林區,仁勇里,292,217,509
士林區,義信里,222,175,397
士林區,福林里,221,139,360
士林區,福德里,322,219,541
士林區,福志里,517,321,838
士林區,舊佳里,406,224,630
士林區,福佳里,637,394,1031
士林區,後港里,634,391,1025
士林區,福中里,652,427,1079
士林區,前港里,357,259,616
士林區,百齡里,635,377,1012
士林區,承德里,390,243,633
士林區,福華里,472,279,751
士林區,明勝里,352,207,559
士林區,福順里,373,273,646
士林區,富光里,426,287,713
士林區,葫蘆里,657,446,1103
士林區,葫東里,317,205,522
士林區,社子里,518,330,848
士林區,社新里,745,449,1194
士林區,社園里,612,338,950
士林區,永倫里,658,232,890
士林區,福安里,317,172,489
士林區,富洲里,425,186,611
士林區,岩山里,215,166,381
士林區,名山里,488,344,832
士林區,德行里,311,222,533
士林區,德華里,372,224,596
士林區,聖山里,353,246,599
士林區,忠誠里,379,241,620
士林區,芝山里,530,386,916
士林區,東山里,289,262,551
士林區,三玉里,458,248,706
士林區,蘭雅里,620,403,1023
士林區,蘭興里,475,319,794
士林區,天福里,428,393,821
士林區,天祿里,399,296,695
士林區,天壽里,393,295,688
士林區,天和里,522,471,993
士林區,天山里,433,398,831
士林區,天玉里,653,608,1261
士林區,天母里,448,412,860
士林區,永福里,72,34,106
士林區,公館里,86,33,119
士林區,新安里,103,56,159
士林區,陽明里,160,67,227
士林區,菁山里,113,53,166
士林區,平等里,70,53,123
士林區,溪山里,88,55,143
士林區,翠山里,134,58,192
士林區,臨溪里,163,103,266
北投區,建民里,269,162,431
北投區,文林里,255,180,435
北投區,石牌里,388,214,602
北投區,福興里,578,553,1131
北投區,榮光里,709,716,1425
北投區,榮華里,546,344,890
北投區,裕民里,594,330,924
北投區,振華里,564,409,973
北投區,永和里,708,550,1258
北投區,永欣里,620,482,1102
北投區,永明里,425,421,846
北投區,東華里,295,303,598
北投區,吉利里,645,664,1309
北投區,吉慶里,458,482,940
北投區,尊賢里,388,418,806
北投區,立賢里,430,484,914
北投區,立農里,667,697,1364
北投區,八仙里,381,241,622
北投區,洲美里,195,103,298
北投區,奇岩里,685,323,1008
北投區,清江里,536,332,868
北投區,中央里,677,371,1048
北投區,長安里,408,260,668
北投區,大同里,413,272,685
北投區,溫泉里,430,259,689
北投區,林泉里,208,104,312
北投區,中心里,434,177,611
北投區,中庸里,325,150,475
北投區,開明里,419,192,611
北投區,中和里,399,195,594
北投區,智仁里,673,258,931
北投區,秀山里,254,111,365
北投區,文化里,482,226,708
北投區,豐年里,522,234,756
北投區,稻香里,340,176,516
北投區,桃源里,422,197,619
北投區,一德里,630,376,1006
北投區,關渡里,890,493,1383
北投區,泉源里,111,68,179
北投區,湖山里,107,40,147
北投區,大屯里,80,42,122
北投區,湖田里,58,18,76
