the_geom,cartodb_id,statistic_yyy,site_id,village,edu_age_15up_total,edu_senior_ungraduated_m,edu_senior_ungraduated_f,sum_highschool
,130,105,中山區,正義里,4857,276,444,720
,131,105,中山區,正得里,3425,134,270,404
,132,105,中山區,民安里,4245,206,306,512
,133,105,中山區,康樂里,2445,115,204,319
,134,105,中山區,中山里,5964,280,512,792
,135,105,中山區,聚盛里,3855,200,347,547
,136,105,中山區,集英里,6355,324,500,824
,137,105,中山區,聚葉里,3651,196,271,467
,138,105,中山區,恆安里,4432,199,368,567
,139,105,中山區,晴光里,4849,219,382,601
,140,105,中山區,圓山里,3866,178,314,492
,141,105,中山區,劍潭里,3378,155,188,343
,142,105,中山區,大直里,8348,295,492,787
,143,105,中山區,成功里,5776,168,285,453
,144,105,中山區,永安里,8326,278,451,729
,145,105,中山區,大佳里,981,73,66,139
,146,105,中山區,新喜里,4904,292,394,686
,147,105,中山區,新庄里,4662,268,356,624
,148,105,中山區,新福里,4750,256,382,638
,149,105,中山區,松江里,5934,280,428,708
,150,105,中山區,新生里,4531,261,347,608
,151,105,中山區,中庄里,4754,289,353,642
,152,105,中山區,行政里,7086,500,540,1040
,153,105,中山區,行仁里,7518,514,625,1139
,154,105,中山區,行孝里,3784,274,297,571
,155,105,中山區,下埤里,6928,383,538,921
,156,105,中山區,江寧里,6317,267,447,714
,157,105,中山區,江山里,6899,329,457,786
,158,105,中山區,中吉里,5029,214,338,552
,159,105,中山區,中原里,4590,248,318,566
,160,105,中山區,興亞里,4871,205,328,533
,161,105,中山區,中央里,3244,144,230,374
,162,105,中山區,朱馥里,5354,271,346,617
,163,105,中山區,龍洲里,4632,140,317,457
,164,105,中山區,朱園里,4183,164,275,439
,165,105,中山區,埤頭里,3182,173,212,385
,166,105,中山區,朱崙里,2546,115,163,278
,167,105,中山區,力行里,5477,227,330,557
,168,105,中山區,復華里,4222,140,255,395
,169,105,中山區,金泰里,6542,280,378,658
,170,105,中山區,北安里,2424,102,175,277
,171,105,中正區,水源里,2732,117,162,279
,172,105,中正區,富水里,2227,93,132,225
,173,105,中正區,文盛里,2120,74,117,191
,174,105,中正區,林興里,4025,167,237,404
,175,105,中正區,河堤里,4273,154,234,388
