site_id,village,people_total,people_total_m,people_total_f,,ratio
區域別,村里,人口數,人口數-男,人口數-女,,ratio
三重區,德厚里,400.00,195,205,36.00,0.184615384615385
三重區,成功里,"6,508.00",3125,3383,"1,025.00",0.328
三重區,福祉里,"5,828.00",2833,2995,971.00,0.342746205435934
三重區,福民里,"3,701.00",1838,1863,486.00,0.264417845484222
三重區,過田里,"9,618.00",5262,4356,"1,148.00",0.218167996959331
三重區,錦田里,"2,201.00",1090,1111,307.00,0.281651376146789
三重區,重明里,"3,846.00",1880,1966,574.00,0.30531914893617
三重區,光田里,"4,658.00",2284,2374,715.00,0.313047285464098
三重區,光陽里,"6,506.00",3224,3282,"1,070.00",0.331885856079404
三重區,田心里,"4,263.00",2132,2131,560.00,0.26266416510319
三重區,福田里,"3,711.00",1865,1846,578.00,0.309919571045576
三重區,田中里,"6,731.00",3318,3413,971.00,0.292646172393008
三重區,田安里,"6,534.00",3152,3382,875.00,0.27760152284264
三重區,三民里,"3,550.00",1769,1781,543.00,0.306953080836631
三重區,光明里,"7,819.00",3819,4000,"1,204.00",0.315265776381252
三重區,光正里,"2,556.00",1254,1302,486.00,0.38755980861244
三重區,同安里,"1,487.00",748,739,146.00,0.195187165775401
三重區,同慶里,"1,884.00",938,946,283.00,0.301705756929638
三重區,菜寮里,"2,351.00",1148,1203,275.00,0.239547038327526
三重區,永春里,"2,099.00",1034,1065,274.00,0.264990328820116
三重區,中正里,"1,432.00",723,709,198.00,0.273858921161826
三重區,吉利里,"1,457.00",725,732,203.00,0.28
三重區,大同里,"2,033.00",969,1064,306.00,0.315789473684211
三重區,中民里,"1,332.00",671,661,161.00,0.239940387481371
三重區,平和里,"1,596.00",817,779,142.00,0.173806609547124
三重區,大安里,"1,729.00",867,862,216.00,0.249134948096886
三重區,仁德里,"2,094.00",1075,1019,246.00,0.228837209302326
三重區,忠孝里,"1,797.00",906,891,226.00,0.249448123620309
三重區,仁義里,"1,231.00",615,616,133.00,0.216260162601626
三重區,光榮里,"1,455.00",716,739,227.00,0.317039106145251
三重區,光輝里,"1,602.00",807,795,229.00,0.283767038413879
三重區,福星里,"1,065.00",512,553,169.00,0.330078125
三重區,福利里,"2,438.00",1129,1309,379.00,0.335695305580159
三重區,清和里,"3,949.00",1877,2072,635.00,0.338305807139052
三重區,永興里,"1,357.00",656,701,180.00,0.274390243902439
三重區,中山里,"2,830.00",1383,1447,455.00,0.328994938539407
三重區,大園里,"2,914.00",1463,1451,366.00,0.250170881749829
三重區,國隆里,"2,861.00",1378,1483,372.00,0.269956458635704
三重區,重陽里,"3,875.00",1932,1943,546.00,0.282608695652174
三重區,民生里,"4,574.00",2257,2317,532.00,0.235711120957023
三重區,重新里,"1,518.00",750,768,199.00,0.265333333333333
三重區,正德里,"1,221.00",589,632,150.00,0.254668930390492
三重區,正義里,"1,952.00",981,971,269.00,0.27420998980632
三重區,正安里,"2,066.00",1007,1059,266.00,0.264150943396226
三重區,自強里,"1,909.00",940,969,233.00,0.247872340425532
三重區,文化里,"2,504.00",1256,1248,350.00,0.278662420382166
三重區,中央里,"1,820.00",904,916,224.00,0.247787610619469
三重區,雙園里,"1,028.00",518,510,117.00,0.225868725868726
三重區,錦通里,"1,586.00",759,827,174.00,0.229249011857708
三重區,錦安里,"1,916.00",920,996,230.00,0.25
三重區,長安里,"2,333.00",1163,1170,274.00,0.235597592433362
三重區,光華里,"2,024.00",1009,1015,299.00,0.296333002973241
三重區,長生里,922.00,456,466,135.00,0.296052631578947
三重區,開元里,"1,550.00",770,780,215.00,0.279220779220779
三重區,大德里,833.00,395,438,99.00,0.250632911392405
三重區,長元里,"2,599.00",1311,1288,307.00,0.234172387490465
三重區,長江里,"2,151.00",1068,1083,275.00,0.25749063670412
三重區,長泰里,"2,371.00",1192,1179,256.00,0.214765100671141
三重區,長福里,"1,645.00",789,856,173.00,0.219264892268695
三重區,介壽里,"1,250.00",612,638,155.00,0.253267973856209
三重區,萬壽里,"2,155.00",1049,1106,267.00,0.254528122020972
三重區,錦江里,"2,477.00",1237,1240,267.00,0.215844785772029
三重區,龍濱里,"3,480.00",1687,1793,418.00,0.247777119146414
