縣市代碼,縣市名稱,學校代碼,學校名稱,1年級班級數,2年級班級數,3年級班級數,4年級班級數,5年級班級數,6年級班級數,1年級男學生數,1年級女學生數,2年級男學生數,2年級女學生數,3年級男學生數,3年級女學生數,4年級男學生數,4年級女學生數,5年級男學生數,5年級女學生數,6年級男學生數,6年級女學生數,上學年男畢業生,上學年女畢業生,男專任教師,女專任教師,男職員,女職員
30,台北市,403606,市立康寧國小,6,6,6,6,7,7,87,82,86,75,79,72,75,69,77,88,93,79,82,91,14,63,3,6
30,台北市,403607,市立明湖國小,10,10,10,10,11,11,134,137,156,143,167,142,168,139,146,140,159,137,133,139,32,88,1,9
30,台北市,403608,市立麗山國小,7,6,6,7,7,7,92,87,78,67,102,68,91,88,74,78,90,83,79,93,18,64,2,9
30,台北市,403609,市立新湖國小,5,5,5,5,5,5,50,72,71,75,60,61,57,62,62,70,58,52,67,79,22,44,1,8
30,台北市,403610,市立文湖國小,2,2,2,2,2,2,25,19,28,20,19,23,21,23,14,16,32,17,19,29,7,24,2,4
30,台北市,403611,市立大湖國小,3,4,3,4,3,3,35,48,50,33,51,36,44,43,29,40,48,34,63,44,17,29,0,5
30,台北市,403612,市立南湖國小,8,9,8,9,9,9,121,105,146,127,122,113,127,124,117,96,132,106,126,117,23,82,2,9
30,台北市,403613,市立麗湖國小,7,8,8,8,7,8,92,107,112,96,122,112,97,101,103,82,112,98,94,94,20,71,2,8
30,台北市,411601,私立華興小學,4,4,4,4,4,4,80,80,90,70,96,63,82,76,83,75,65,91,74,72,6,39,1,2
30,台北市,413601,市立士林國小,6,7,7,7,8,8,85,72,82,66,88,87,91,89,112,94,120,95,125,99,21,75,2,9
30,台北市,413602,市立士東國小,6,6,5,5,6,6,83,80,92,70,84,69,68,74,69,64,74,66,74,66,16,60,2,6
30,台北市,413603,市立福林國小,3,4,4,4,4,5,46,30,45,44,59,50,46,49,55,33,65,38,61,28,13,35,1,5
30,台北市,413604,市立陽明山國小,1,2,1,1,1,2,15,7,9,15,8,10,10,11,12,8,14,14,8,15,6,16,2,3
30,台北市,413605,市立社子國小,7,8,9,8,9,9,100,100,111,85,110,104,105,99,102,91,123,100,117,110,36,67,1,10
30,台北市,413606,市立雨聲國小,2,2,2,2,2,2,22,25,22,19,23,15,18,15,23,21,23,11,16,12,7,20,0,6
30,台北市,413607,市立富安國小,1,2,1,1,2,2,9,12,16,13,11,12,7,9,20,6,18,15,8,16,6,15,2,3
30,台北市,413608,市立劍潭國小,3,3,3,3,3,3,26,40,40,35,38,41,39,24,37,43,36,25,31,30,17,26,1,6
30,台北市,413609,市立溪山國小,1,1,1,1,1,1,3,8,3,11,9,6,11,5,5,7,7,6,6,8,7,10,0,3
30,台北市,413610,市立平等國小,1,1,1,1,1,1,9,2,5,6,0,4,6,6,4,5,3,6,7,9,5,11,0,3
30,台北市,413611,市立百齡國小,8,8,9,9,9,10,106,135,127,112,130,109,107,124,138,112,124,129,126,117,34,68,3,7
30,台北市,413612,市立雙溪國小,1,1,1,1,1,1,5,13,19,10,8,9,9,5,12,4,10,9,7,6,8,9,0,4
30,台北市,413613,市立葫蘆國小,6,7,8,8,8,9,87,80,104,84,100,92,102,107,114,97,111,91,93,106,34,59,1,9
30,台北市,413614,市立雨農國小,3,4,4,3,4,5,40,33,55,46,43,71,40,44,53,45,54,61,49,48,10,40,0,7
30,台北市,413615,市立天母國小,9,10,10,10,10,10,132,116,127,119,164,126,135,121,145,125,126,135,138,134,25,90,2,9
30,台北市,413616,市立文昌國小,2,2,2,2,2,2,17,18,17,20,24,21,16,14,23,18,16,22,25,25,7,22,2,5
30,台北市,413617,市立芝山國小,3,4,3,4,3,3,24,33,33,38,27,36,41,39,39,26,35,35,36,33,15,31,0,5
30,台北市,413618,市立蘭雅國小,3,3,3,3,3,3,39,30,40,36,37,30,39,30,32,27,28,34,50,33,11,27,3,2
30,台北市,413619,市立三玉國小,4,6,6,6,6,5,65,49,64,55,71,80,80,66,83,70,73,63,85,66,9,60,2,5
30,台北市,421303,私立奎山實驗高中附設國小部,2,2,2,2,2,2,28,28,32,26,22,36,34,24,29,20,26,34,34,26,5,19,0,0
30,台北市,421601,私立薇閣小學,6,6,6,6,6,6,130,122,124,128,129,123,128,123,133,112,125,124,142,109,12,71,5,6
30,台北市,423601,市立北投國小,6,8,9,9,10,10,91,65,101,96,97,106,99,108,104,99,139,119,123,97,28,87,0,12
30,台北市,423602,市立逸仙國小,3,3,3,4,3,4,46,36,36,37,22,41,34,45,48,30,47,43,54,33,16,34,2,4
30,台北市,423603,市立石牌國小,14,13,14,14,14,14,210,190,194,178,218,214,210,181,231,197,224,190,190,202,23,140,3,10
30,台北市,423604,市立關渡國小,7,7,7,7,6,7,97,87,110,80,86,85,98,90,78,89,115,80,97,72,22,61,3,7
30,台北市,423605,市立湖田國小,1,1,1,1,1,1,4,2,4,5,7,4,6,2,6,4,4,6,1,4,5,11,1,2
30,台北市,423606,市立清江國小,3,3,3,3,3,4,35,28,34,33,36,26,34,39,43,17,45,30,45,26,14,30,3,5
30,台北市,423607,市立泉源國小,1,1,1,1,1,1,4,2,7,8,8,0,9,4,10,5,9,5,5,3,7,9,0,3
30,台北市,423608,市立大屯國小,1,1,1,1,1,1,12,8,12,7,12,6,10,8,13,5,10,8,11,9,8,9,0,3
30,台北市,423609,市立湖山國小,1,1,1,1,1,1,10,8,13,10,10,18,9,6,14,13,15,13,13,6,6,11,0,3
30,台北市,423610,市立桃源國小,2,2,2,2,2,2,20,16,28,28,21,15,24,19,25,18,24,21,27,19,8,23,2,5
30,台北市,423611,市立文林國小,2,2,3,3,4,4,29,24,29,21,28,29,31,26,37,18,34,30,43,28,11,29,1,5
30,台北市,423612,市立義方國小,2,2,2,2,2,2,23,28,28,20,23,25,22,15,16,23,17,19,21,28,8,18,1,5
30,台北市,423613,市立立農國小,3,4,4,5,4,4,29,46,57,36,46,44,55,46,43,39,41,56,61,43,12,42,0,7
30,台北市,423614,市立明德國小,4,4,4,4,4,4,57,38,61,42,58,46,52,40,49,47,59,58,61,36,7,42,0,7
30,台北市,423616,市立文化國小,9,9,9,9,9,9,133,128,126,110,129,140,133,132,133,136,132,129,145,127,27,74,1,8
