高級中等學校校別概況,,,,,,,,,,,,,,,,,
105 學年度  SY 2016-2017,,,,,,,,,,,,,,,,,
單位：人；班,,,,,,,,,,,,,,,,,
,,專任教師數,,,兼任教師數,,,職員數,,,班級數,學生數,,,上學年畢業生數,,
,,總計,男,女,總計,男,女,總計,男,女,,總計,男,女,總計,男,女
061301,財團法人常春藤高中,53,23,30,24,18,6,10,3,7,26,"1,114",569,545,208,113,95
061306,私立明台高中,160,66,94,48,21,27,26,8,18,92,"3,856","1,686","2,170","1,341",572,769
061309,私立致用高中,182,81,101,40,18,22,29,8,21,91,"4,122","2,482","1,640","1,313",798,515
061310,私立大明高中,146,66,80,72,37,35,32,6,26,84,"3,665","1,911","1,754","1,124",563,561
061311,私立嘉陽高中,109,50,59,75,37,38,16,5,11,78,"2,885","1,877","1,008","1,045",671,374
061313,私立明道高中,349,157,192,7,3,4,55,10,45,93,"4,627","2,327","2,300","1,519",760,759
061314,私立僑泰高中,235,106,129,55,26,29,40,14,26,134,"6,289","3,275","3,014","2,060","1,083",977
061315,私立華盛頓高中,93,42,51,7,7, -,33,8,25,22,999,510,489,295,155,140
061316,私立青年高中,174,67,107,132,62,70,29,6,23,100,"3,532","2,105","1,427","1,097",600,497
061317,私立弘文高中,136,54,82,11,11, -,29,16,13,36,"1,612",866,746,506,300,206
061318,私立立人高中,133,51,82,15,9,6,27,4,23,48,"2,204","1,048","1,156",759,398,361
061319,私立玉山高中,52,22,30,17,8,9,22,5,17,31,885,512,373,385,229,156
061321,私立慈明高中,147,59,88,44,22,22,35,7,28,86,"3,385","1,775","1,610",971,595,376
064308,市立后綜高中,163,59,104,12,8,4,20,9,11,30,"1,012",453,559,342,169,173
064324,市立大里高中,102,35,67, -, -, -,16,4,12,21,762,358,404,246,100,146
064328,市立新社高中,122,45,77, -, -, -,16,2,14,23,798,386,412,240,114,126
064336,市立長億高中,112,41,71,1, -,1,17,3,14,24,837,404,433,302,160,142
064342,市立中港高中,135,54,81, -, -, -,16,3,13,19,688,342,346,221,96,125
070301,國立彰化女中,104,38,66,15,6,9,23,5,18,45,"1,756", -,"1,756",601, -,601
070304,國立員林高中,118,53,65,7,3,4,24,7,17,51,"1,980",738,"1,242",691,260,431
070307,國立彰化高中,145,75,70,29,11,18,27,8,19,63,"2,404","2,329",75,803,779,24
070316,國立鹿港高中,105,49,56,6,1,5,23,7,16,47,"1,731",911,820,523,263,260
070319,國立溪湖高中,109,48,61, -, -, -,24,10,14,45,"1,678",700,978,596,253,343
071311,私立精誠高中,137,67,70,8,5,3,20,5,15,30,"1,368",780,588,466,261,205
071317,私立文興高中,94,34,60,9,3,6,21,4,17,27,"1,261",502,759,458,205,253
071318,財團法人正德高中,69,33,36,16,8,8,21,5,16,39,"1,437",535,902,574,244,330
074308,縣立彰化藝術高中,118,40,78, -, -, -,14,6,8,27,871,383,488,260,110,150
074313,縣立二林高中,149,52,97, -, -, -,14,5,9,15,498,259,239,120,66,54
074323,縣立和美高中,162,60,102,10,6,4,16,2,14,17,596,270,326,173,76,97
074328,縣立田中高中,127,51,76, -, -, -,12,5,7,12,425,221,204,95,54,41
074339,縣立成功高中,111,53,58, -, -, -,13,2,11,14,433,219,214,98,46,52
080302,國立南投高中,117,63,54,3,3, -,27,12,15,45,"1,537",835,702,549,316,233
080305,國立中興高中,99,39,60,16,8,8,20,4,16,42,"1,302",698,604,486,224,262
080307,國立竹山高中,95,42,53,12,5,7,27,11,16,42,"1,287",632,655,424,188,236
080308,國立暨大附中,90,38,52,25,11,14,17,5,12,39,"1,250",536,714,338,123,215
081311,私立五育高中,29,12,17,10,4,6,19,9,10,19,568,281,287,128,78,50
081312,私立三育高中,20,14,6, -, -, -,12,3,9,5,111,59,52,48,26,22
081313,私立弘明實驗高中,19,8,11,6,5,1,20,11,9,3,119,61,58,16,12,4
081314,私立普台高中,66,27,39, -, -, -,23,7,16,16,593,354,239,142,69,73
084309,縣立旭光高中,161,60,101, -, -, -,14,3,11,21,716,329,387,251,121,130
090305,國立斗六高中,111,57,54,5,4,1,24,11,13,48,"1,739",787,952,602,298,304
090306,國立北港高中,80,32,48,1, -,1,18,5,13,32,"1,032",437,595,374,184,190
090315,國立虎尾高中,98,46,52,5,2,3,21,5,16,42,"1,531",751,780,544,274,270
091307,私立永年高中,58,28,30,9,5,4,18,6,12,19,779,483,296,209,149,60
091308,私立正心高中,145,66,79,16,6,10,27,11,16,27,"1,159",632,527,388,219,169
091311,私立文生高中,34,19,15, -, -, -,9,4,5,9,315,189,126,77,49,28
091312,私立巨人高中,18,5,13, -, -, -,6,2,4,15,615,184,431,177,53,124
091316,私立揚子高中,73,30,43, -, -, -,21,7,14,20,854,488,366,218,117,101
091318,財團法人義峰高中,39,20,19,30,18,12,17,4,13,30,"1,231",694,537,308,169,139
091319,私立福智高中,29,3,26, -, -, -,14,5,9,12,420,185,235,141,60,81
091320,雲林縣維多利亞實驗高中,25,15,10, -, -, -,14,3,11,6,101,57,44,23,10,13
094301,縣立斗南高中,125,50,75, -, -, -,16,6,10,18,590,289,301,179,90,89
094307,縣立麥寮高中,137,57,80,6,5,1,16,4,12,22,604,346,258,151,86,65
094308,縣立古坑華德福實驗高級中學,23,15,8, -, -, -,1,1, -,3,28,18,10,11,5,6
100301,國立東石高中,99,62,37,14,6,8,25,13,12,38,"1,302",888,414,437,302,135
100302,國立新港藝術高中,45,21,24,10,5,5,13,2,11,18,561,260,301,185,76,109
101303,私立同濟高中,22,14,8,12,8,4,8,4,4,9,279,163,116,55,35,20
101304,私立協同高中,101,51,50,3, -,3,23,11,12,22,935,499,436,317,148,169
104319,縣立竹崎高中,91,36,55, -, -, -,9,1,8,12,352,181,171,121,65,56
104326,縣立永慶高中,66,29,37,3,2,1,7,2,5,12,349,151,198,83,33,50
110302,國立新豐高中,89,40,49,21,7,14,21,7,14,39,"1,239",542,697,450,189,261
110308,國立臺南大學附中,118,52,66,5,2,3,27,12,15,49,"1,768",754,"1,014",636,270,366
110311,國立北門高中,69,31,38, -, -, -,18,7,11,30,"1,015",474,541,312,140,172
110312,國立新營高中,84,27,57,4, -,4,19,6,13,33,"1,039",391,648,365,147,218
110314,國立後壁高中,85,37,48, -, -, -,22,7,15,30,855,467,388,310,150,160
110315,國立善化高中,79,33,46, -, -, -,19,10,9,33,"1,086",588,498,234,130,104
110317,國立新化高中,85,44,41,8,4,4,18,5,13,36,"1,310",534,776,390,158,232
110328,國立南科國際實驗高中,95,36,59,18,7,11,22,4,18,15,381,220,161,131,65,66
111313,私立南光高中,79,29,50, -, -, -,10,4,6,23,"1,038",533,505,340,192,148
111318,私立鳳和高中,21,9,12,8,4,4,8,2,6,6,213,123,90,78,43,35
111320,私立港明高中,121,79,42,6,5,1,13,2,11,44,"1,915","1,176",739,648,404,244
111321,臺南市興國高中,121,61,60, -, -, -,20,2,18,34,"1,428",843,585,444,256,188
111322,私立明達高中,28,19,9,5, -,5,8,3,5,9,318,166,152,88,49,39
111323,私立黎明高中,83,48,35,9,5,4,19,5,14,24,"1,042",571,471,311,185,126
111326,私立新榮高中,39,19,20,1,1, -,16,11,5,33,682,477,205,360,227,133
114306,市立大灣高中,168,49,119,22,7,15,15,3,12,18,722,372,350,241,108,133
114307,市立永仁高中,106,29,77,19,6,13,12,2,10,12,445,212,233,134,72,62
120303,國立鳳山高中,129,53,76, -, -, -,22,5,17,54,"2,019","1,184",835,736,394,342
120304,國立岡山高中,104,38,66, -, -, -,20,5,15,45,"1,614",777,837,555,276,279
120311,國立旗美高中,70,20,50,16,6,10,16,4,12,29,914,359,555,264,89,175
120319,國立鳳新高中,136,49,87,70,18,52,22,6,16,57,"2,129","1,071","1,058",745,343,402
121306,財團法人新光高中,16,4,12,18,8,10,13,7,6,19,372,208,164,112,68,44
121307,財團法人普門中學,56,27,29,18,5,13,14,4,10,15,409,262,147,158,95,63
121318,私立正義高中,37,10,27, -, -, -,8, -,8,13,509,277,232,127,69,58
121320,私立義大國際高中,35,15,20,44,16,28,8,4,4,6,246,133,113,62,33,29
124302,市立文山高中,127,43,84,7,1,6,15,3,12,24,824,384,440,278,152,126
124311,市立林園高中,186,71,115, -, -, -,18,5,13,18,628,302,326,160,69,91
124313,市立仁武高中,124,54,70,11,3,8,14,4,10,21,622,322,300,184,106,78
124322,市立路竹高中,147,49,98,26,11,15,17,4,13,21,644,313,331,180,95,85
124333,市立六龜高中,38,13,25,3,1,2,6,3,3,6,117,73,44,55,30,25
124340,市立福誠高中,140,42,98,18,8,10,15,3,12,21,738,369,369,233,109,124
130302,國立屏東女中,107,36,71,72,17,55,22,4,18,48,"1,730",15,"1,715",614,4,610
130305,國立屏東高中,129,64,65, -, -, -,26,9,17,57,"2,005","1,943",62,668,657,11
130306,國立潮州高中,94,40,54, -, -, -,22,5,17,42,"1,487",651,836,493,214,279
130322,國立屏北高中,67,29,38, -, -, -,16,5,11,30,939,307,632,310,97,213
131307,財團法人屏榮高中,117,54,63,75,31,44,14,5,9,79,"3,404","1,850","1,554",884,470,414
131308,私立陸興高中,27,18,9,18,11,7,11,3,8,13,526,322,204,110,68,42
131311,私立美和高中,67,40,27, -, -, -,12,4,8,21,846,560,286,198,135,63
134304,縣立大同高中,127,43,84, -, -, -,12,4,8,21,707,255,452,236,57,179
134321,縣立枋寮高中,91,35,56, -, -, -,11,4,7,13,374,178,196,87,49,38
134324,縣立東港高中,178,78,100,17,4,13,13,2,11,19,684,339,345,137,68,69
134334,縣立來義高中,48,21,27, -, -, -,8,2,6,12,261,175,86,65,41,24
140301,國立臺東大學附屬體育高中,46,26,20, -, -, -,21,11,10,9,210,158,52,51,36,15
140302,國立臺東女中,67,27,40, -, -, -,16,3,13,27,922,6,916,332,5,327
140303,國立臺東高中,82,37,45, -, -, -,18,4,14,33,"1,021",985,36,309,300,9
141301,臺東縣均一高中,19,8,11, -, -, -,14,4,10,2,43,18,25, -, -, -
141307,私立育仁高中,22,11,11,11,6,5,4, -,4,8,160,64,96,43,15,28
144322,縣立蘭嶼高中,26,15,11, -, -, -,9,5,4,3,43,33,10,12,9,3
150302,國立花蓮女中,80,34,46,23,15,8,17,3,14,33,"1,130",6,"1,124",391,3,388
150303,國立花蓮高中,91,41,50,35,11,24,19,5,14,39,"1,342","1,299",43,402,393,9
150309,國立玉里高中,81,29,52,20,8,12,21,13,8,32,511,274,237,134,63,71
151306,私立海星高中,86,34,52,24,7,17,17,5,12,33,"1,274",493,781,444,186,258
151307,私立四維高中,88,48,40,22,17,5,25,9,16,43,"1,956","1,096",860,627,365,262
151312,財團法人慈濟大學附中,73,32,41,8,5,3,18,9,9,15,528,263,265,169,75,94
154301,花蓮縣立體育高中,20,12,8,1, -,1,10,4,6,6,132,93,39,38,28,10
154399,縣立南平中學,11,2,9, -, -, -,9,2,7,3,21, -,21,1, -,1
160302,國立馬公高中,108,50,58,34,19,15,20,7,13,48,"1,423",661,762,442,203,239
170301,國立基隆女中,119,41,78,18,7,11,21,1,20,49,"1,596", -,"1,596",652, -,652
170302,國立基隆高中,92,41,51,59,15,44,23,7,16,40,"1,207","1,098",109,273,245,28
171306,私立二信高中,193,85,108,11,6,5,40,16,24,68,"2,866","1,684","1,182",774,472,302
171308,輔大聖心高中,54,26,28,6,3,3,14,4,10,23,727,516,211,216,144,72
173304,市立中山高中,80,28,52,8,5,3,17,6,11,12,326,178,148,94,48,46
173306,市立安樂高中,86,29,57,7,3,4,14,2,12,12,406,246,160,116,68,48
173307,市立暖暖高中,69,19,50, -, -, -,13,5,8,11,368,257,111,110,86,24
173314,市立八斗高中,74,28,46,1,1, -,9,3,6,12,187,111,76,53,26,27
180301,國立科學工業園區實驗高中,109,34,75, -, -, -,34,6,28,21,672,391,281,198,110,88
180302,國立新竹女中,130,37,93,11,4,7,24,1,23,54,"2,105",19,"2,086",725,6,719
180309,國立新竹高中,135,53,82,70,25,45,23,5,18,57,"2,234","2,170",64,742,723,19
181305,私立光復高中,200,86,114,69,26,43,33,9,24,128,"5,359","2,945","2,414","1,355",725,630
181306,私立曙光女中,95,23,72,6,4,2,10, -,10,24,"1,093",4,"1,089",365, -,365
181307,私立磐石高中,109,51,58,27,14,13,27,12,15,42,"1,908","1,237",671,642,433,209
181308,私立世界高中,63,22,41,24,13,11,20,5,15,39,"1,095",470,625,335,140,195
183306,市立成德高中,115,28,87, -, -, -,17,4,13,27,978,586,392,295,168,127
183307,市立香山高中,115,36,79,20,13,7,17,2,15,24,873,451,422,260,135,125
183313,市立建功高中,126,27,99, -, -, -,16,2,14,22,903,465,438,282,125,157
190301,國立臺中女中,128,51,77,17,3,14,23,5,18,54,"2,141", -,"2,141",748,1,747
190302,國立臺中一中,177,99,78, -, -, -,30,9,21,75,"2,972","2,884",88,986,962,24
