End of Year",性別,,總計,0 歲,1 歲,2 歲,3 歲,4 歲,5 歲,6 歲,7 歲,8 歲,9 歲,10 歲,11 歲,12 歲,13 歲,14 歲,15 歲,16 歲,17 歲,18 歲,19 歲,20 歲,21 歲,22 歲,23 歲,24 歲,25 歲,26 歲,27 歲,28 歲,29 歲,30 歲,31 歲,32 歲,33 歲,34 歲,35 歲,36 歲,37 歲,38 歲,39 歲,40 歲,41 歲,42 歲,43 歲,44 歲,45 歲,46 歲,47 歲,48 歲,49 歲,50 歲,51 歲,52 歲,53 歲,54 歲,55 歲,56 歲,57 歲,58 歲,59 歲,60 歲,61 歲,62 歲,63 歲,64 歲,65 歲,66 歲,67 歲,68 歲,69 歲,70 歲,71 歲,72 歲,73 歲,74 歲,75 歲,76 歲,77 歲,78 歲,79 歲,80 歲,81 歲,82 歲,83 歲,84 歲,85 歲,86 歲,87 歲,88 歲,89 歲,90 歲,91 歲,92 歲,93 歲,94 歲,95 歲,96 歲,97 歲,98 歲,99 歲,100 歲以上,,,,,,,,,,,,,,,,,,,
,Sex,,Grand Total,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years & Over,,,,,,,,,,,,,,,,,,,
八十一年 1992,計,T.,"20,802,622","307,732","320,927","337,109","318,733","345,052","316,891","308,054","341,291","365,415","377,074","397,826","407,715","403,762","412,368","401,398","383,860","412,547","359,342","354,247","354,582","355,920","367,218","376,942","379,960","379,637","365,248","391,354","386,284","392,971","398,102","393,691","390,018","385,899","382,995","371,972","354,560","366,731","358,537","340,627","329,308","322,509","325,884","277,434","259,626","229,889","203,015","169,232","154,773","178,509","181,858","179,573","181,881","181,504","173,907","165,317","162,838","155,397","154,357","150,521","147,077","146,815","151,102","151,722","146,064","141,786","135,141","130,186","121,255","108,754","98,844","97,019","92,336","78,546","68,956","63,209","58,228","50,260","46,648","44,137","39,743","37,693","27,825","23,678","19,730","15,890","13,423","10,770","8,833","6,463","5,080","4,138","2,842","2,046","1,358","1,010",715,430,312,220,124,291,,,,,,,,,,,,,,,,,,,
,男,M.,"10,734,609","160,372","167,614","175,811","165,506","179,231","164,511","159,227","175,741","188,692","194,100","205,173","210,101","207,442","212,596","206,702","197,013","211,606","184,079","181,247","181,757","182,075","188,058","193,202","194,710","194,836","187,469","200,236","197,501","201,343","203,702","201,478","199,586","197,397","195,285","189,740","180,733","187,226","183,069","173,662","167,639","164,747","165,884","141,870","132,543","117,532","103,424","86,289","78,510","90,935","92,319","90,780","91,993","91,104","86,593","82,713","81,176","77,850","77,252","76,475","76,450","78,471","82,956","86,286","83,827","82,089","78,616","75,492","71,006","62,151","55,709","54,150","51,090","43,209","37,392","33,849","30,562","26,426","23,890","22,415","19,807","19,512","12,519","10,526","8,757","6,735","5,778","4,440","3,532","2,605","2,034","1,600","1,063",724,459,340,246,152,108,60,40,79,,,,,,,,,,,,,,,,,,,
,女,F.,"10,068,013","147,360","153,313","161,298","153,227","165,821","152,380","148,827","165,550","176,723","182,974","192,653","197,614","196,320","199,772","194,696","186,847","200,941","175,263","173,000","172,825","173,845","179,160","183,740","185,250","184,801","177,779","191,118","188,783","191,628","194,400","192,213","190,432","188,502","187,710","182,232","173,827","179,505","175,468","166,965","161,669","157,762","160,000","135,564","127,083","112,357","99,591","82,943","76,263","87,574","89,539","88,793","89,888","90,400","87,314","82,604","81,662","77,547","77,105","74,046","70,627","68,344","68,146","65,436","62,237","59,697","56,525","54,694","50,249","46,603","43,135","42,869","41,246","35,337","31,564","29,360","27,666","23,834","22,758","21,722","19,936","18,181","15,306","13,152","10,973","9,155","7,645","6,330","5,301","3,858","3,046","2,538","1,779","1,322",899,670,469,278,204,160,84,212,,,,,,,,,,,,,,,,,,,
八十二年 1993,計,T.,"20,995,416","307,292","322,934","324,533","339,450","320,389","344,652","313,311","306,753","340,314","364,768","377,319","397,672","407,010","402,787","410,521","399,558","382,393","411,827","358,277","354,135","354,633","355,550","366,617","376,234","378,636","379,040","363,929","390,009","385,492","392,747","396,624","392,914","388,780","385,136","382,004","371,152","353,745","365,867","358,191","340,146","328,654","322,206","325,432","277,636","258,457","228,036","201,599","168,043","153,591","176,676","180,303","177,835","180,454","180,163","172,408","162,756","160,627","153,496","152,284","148,938","144,319","144,802","149,142","149,494","143,923","139,927","132,325","127,740","118,940","106,053","95,816","93,918","89,201","75,756","66,531","59,350","55,383","47,209","43,961","41,200","36,711","35,142","25,316","21,104","17,443","13,814","11,475","9,083","7,292","5,425","4,152","3,248","2,208","1,587","1,042",818,549,332,208,162,380,,,,,,,,,,,,,,,,,,,
,男,M.,"10,824,161","159,265","168,047","169,004","176,720","165,957","178,768","162,505","158,467","175,046","188,411","194,073","204,814","209,596","207,401","211,081","205,948","195,984","211,303","183,468","181,094","182,008","181,895","187,952","193,017","194,306","194,514","186,710","199,497","196,639","201,211","203,025","201,017","198,730","197,179","194,471","189,356","180,085","186,307","182,986","173,492","167,206","164,328","165,395","142,132","131,774","116,198","102,602","85,413","77,938","89,726","91,334","89,441","91,147","90,154","85,511","81,251","79,804","76,703","75,970","75,429","74,944","77,331","81,894","84,826","82,481","80,762","77,015","73,799","69,452","60,484","53,881","52,261","49,188","41,380","36,056","31,496","28,836","24,600","22,345","20,834","18,240","17,997","11,334","9,325","7,722","5,799","4,894","3,685","2,912","2,162","1,624","1,278",808,535,374,268,184,116,67,45,122,,,,,,,,,,,,,,,,,,,
,女,F.,"10,171,255","148,027","154,887","155,529","162,730","154,432","165,884","150,806","148,286","165,268","176,357","183,246","192,858","197,414","195,386","199,440","193,610","186,409","200,524","174,809","173,041","172,625","173,655","178,665","183,217","184,330","184,526","177,219","190,512","188,853","191,536","193,599","191,897","190,050","187,957","187,533","181,796","173,660","179,560","175,205","166,654","161,448","157,878","160,037","135,504","126,683","111,838","98,997","82,630","75,653","86,950","88,969","88,394","89,307","90,009","86,897","81,505","80,823","76,793","76,314","73,509","69,375","67,471","67,248","64,668","61,442","59,165","55,310","53,941","49,488","45,569","41,935","41,657","40,013","34,376","30,475","27,854","26,547","22,609","21,616","20,366","18,471","17,145","13,982","11,779","9,721","8,015","6,581","5,398","4,380","3,263","2,528","1,970","1,400","1,052",668,550,365,216,141,117,258,,,,,,,,,,,,,,,,,,,
八十三年 1994,計,T.,"21,177,874","293,694","325,167","322,918","322,236","337,617","315,498","343,140","311,797","304,578","340,521","365,487","377,022","397,886","408,447","403,573","412,603","400,498","382,081","414,644","358,797","353,349","353,167","353,556","365,188","375,461","378,466","377,724","361,886","388,982","385,229","392,186","397,922","393,841","389,568","386,132","383,545","371,852","353,876","366,633","358,674","340,163","328,509","322,572","326,719","276,509","257,774","227,397","200,823","165,413","149,336","174,267","177,763","175,591","177,958","178,108","169,756","160,155","158,718","150,656","149,872","145,816","141,473","142,099","145,932","146,698","141,183","136,593","129,303","124,483","115,576","102,449","92,684","90,720","86,220","72,435","62,720","56,308","52,339","44,090","40,584","38,022","33,850","31,938","23,166","19,262","15,527","12,248","10,059","7,783","6,173","4,570","3,407","2,650","1,820","1,333",864,645,419,259,177,497,,,,,,,,,,,,,,,,,,,
,男,M.,"10,907,032","153,609","168,752","168,546","168,596","176,509","164,235","178,378","161,778","157,153","175,551","188,866","194,078","205,296","210,803","207,591","212,743","206,471","195,743","212,781","183,565","181,034","181,471","180,705","186,920","192,547","193,686","193,416","185,448","198,711","196,251","200,352","202,801","201,055","198,563","197,013","194,976","189,007","179,659","186,512","182,752","172,890","166,919","164,191","165,483","140,934","131,115","115,598","101,961","83,983","75,451","88,119","89,758","88,256","89,426","88,904","83,843","79,438","78,466","74,696","74,336","73,499","73,131","75,517","79,995","83,147","80,729","78,918","75,180","72,002","67,529","58,350","52,072","50,335","47,417","39,415","34,025","29,814","27,048","22,814","20,493","19,024","16,619","16,234","10,141","8,315","6,672","5,053","4,189","3,095","2,400","1,770","1,308","1,010",659,451,290,223,144,94,57,164,,,,,,,,,,,,,,,,,,,
,女,F.,"10,270,842","140,085","156,415","154,372","153,640","161,108","151,263","164,762","150,019","147,425","164,970","176,621","182,944","192,590","197,644","195,982","199,860","194,027","186,338","201,863","175,232","172,315","171,696","172,851","178,268","182,914","184,780","184,308","176,438","190,271","188,978","191,834","195,121","192,786","191,005","189,119","188,569","182,845","174,217","180,121","175,922","167,273","161,590","158,381","161,236","135,575","126,659","111,799","98,862","81,430","73,885","86,148","88,005","87,335","88,532","89,204","85,913","80,717","80,252","75,960","75,536","72,317","68,342","66,582","65,937","63,551","60,454","57,675","54,123","52,481","48,047","44,099","40,612","40,385","38,803","33,020","28,695","26,494","25,291","21,276","20,091","18,998","17,231","15,704","13,025","10,947","8,855","7,195","5,870","4,688","3,773","2,800","2,099","1,640","1,161",882,574,422,275,165,120,333,,,,,,,,,,,,,,,,,,,
八十四年 1995,計,T.,"21,357,431","303,078","320,705","325,705","321,177","319,820","335,718","311,697","341,408","309,719","302,817","339,498","364,573","376,476","396,485","407,207","402,844","411,221","399,826","381,098","413,346","357,468","352,513","352,469","352,828","364,293","375,352","377,604","377,434","361,639","388,986","384,949","392,295","398,310","393,583","389,240","385,486","382,666","371,417","352,898","365,913","357,419","339,218","327,192","321,199","325,210","274,685","256,395","226,063","199,543","163,921","148,235","172,619","176,731","174,236","176,543","176,697","168,270","158,912","157,096","149,216","148,020","144,210","139,298","139,972","143,716","144,154","138,352","133,727","126,336","121,105","112,204","99,165","89,359","87,186","82,212","68,707","59,430","52,904","48,769","41,113","37,328","35,017","30,727","28,824","20,679","16,745","13,498","10,408","8,519","6,543","5,074","3,667","2,710","2,068","1,405","1,010",623,481,319,181,505,,,,,,,,,,,,,,,,,,,
,男,M.,"10,990,657","157,466","167,055","169,187","167,819","167,377","175,873","162,073","177,442","160,814","156,429","175,087","188,213","194,012","204,375","209,949","207,061","211,669","205,961","195,326","212,044","182,842","180,507","181,219","180,209","186,327","192,197","193,084","193,131","185,376","198,586","196,312","200,522","203,003","200,984","198,579","196,832","194,500","188,875","178,922","186,202","182,070","172,345","166,137","163,215","164,533","139,740","130,336","114,776","101,189","82,937","74,654","87,151","89,048","87,350","88,477","87,784","82,796","78,603","77,365","73,848","73,324","72,344","71,660","74,225","78,542","81,488","78,900","76,996","73,233","69,875","65,385","56,209","49,953","48,128","45,074","37,180","31,967","27,794","24,976","21,126","18,605","17,309","14,962","14,533","8,955","7,175","5,750","4,290","3,495","2,591","1,973","1,437","1,034",784,510,334,213,175,112,71,175,,,,,,,,,,,,,,,,,,,
,女,F.,"10,366,774","145,612","153,650","156,518","153,358","152,443","159,845","149,624","163,966","148,905","146,388","164,411","176,360","182,464","192,110","197,258","195,783","199,552","193,865","185,772","201,302","174,626","172,006","171,250","172,619","177,966","183,155","184,520","184,303","176,263","190,400","188,637","191,773","195,307","192,599","190,661","188,654","188,166","182,542","173,976","179,711","175,349","166,873","161,055","157,984","160,677","134,945","126,059","111,287","98,354","80,984","73,581","85,468","87,683","86,886","88,066","88,913","85,474","80,309","79,731","75,368","74,696","71,866","67,638","65,747","65,174","62,666","59,452","56,731","53,103","51,230","46,819","42,956","39,406","39,058","37,138","31,527","27,463","25,110","23,793","19,987","18,723","17,708","15,765","14,291","11,724","9,570","7,748","6,118","5,024","3,952","3,101","2,230","1,676","1,284",895,676,410,306,207,110,330,,,,,,,,,,,,,,,,,,,
八十五年 1996,計,T.,"21,525,433","303,837","321,495","320,549","325,205","319,889","318,377","334,924","311,134","341,716","309,226","301,323","338,461","364,115","375,865","396,427","407,244","401,864","411,163","399,720","379,618","413,307","356,742","351,753","351,410","351,602","363,237","374,036","376,689","376,558","360,595","388,459","384,097","391,388","397,617","392,759","388,030","384,720","382,125","370,342","351,990","364,540","356,469","338,034","325,614","319,442","323,677","273,644","255,212","224,765","198,190","162,105","146,179","171,093","175,227","172,441","174,632","174,785","166,659","156,979","155,245","146,969","146,057","141,772","137,033","137,454","141,044","141,354","135,533","130,659","122,878","117,593","108,611","95,527","85,626","83,180","78,040","65,004","55,790","49,409","45,179","37,591","33,982","31,583","27,454","25,570","17,946","14,579","11,669","8,758","7,103","5,454","4,164","2,915","2,158","1,645","1,148",782,467,373,257,583,,,,,,,,,,,,,,,,,,,
,男,M.,"11,065,798","158,284","166,898","166,980","168,897","167,348","166,891","175,586","161,988","177,694","160,644","155,708","174,444","188,073","193,746","204,464","209,952","206,395","211,508","205,748","194,205","212,148","182,654","180,212","180,598","179,647","185,715","191,411","192,338","192,687","184,576","197,992","195,621","199,860","202,579","200,444","197,785","196,353","194,114","188,250","178,441","185,193","181,394","171,464","165,037","162,251","163,634","138,930","129,485","113,957","100,201","81,914","73,409","86,115","88,055","86,081","87,258","86,479","81,726","77,255","76,214","72,339","71,908","70,723","70,154","72,605","76,746","79,795","77,127","75,114","71,059","67,565","63,041","53,887","47,605","45,653","42,456","34,902","29,766","25,659","22,964","19,065","16,727","15,449","13,175","12,712","7,641","6,155","4,892","3,528","2,897","2,106","1,587","1,129",808,648,414,267,158,138,101,203,,,,,,,,,,,,,,,,,,,
,女,F.,"10,459,635","145,553","154,597","153,569","156,308","152,541","151,486","159,338","149,146","164,022","148,582","145,615","164,017","176,042","182,119","191,963","197,292","195,469","199,655","193,972","185,413","201,159","174,088","171,541","170,812","171,955","177,522","182,625","184,351","183,871","176,019","190,467","188,476","191,528","195,038","192,315","190,245","188,367","188,011","182,092","173,549","179,347","175,075","166,570","160,577","157,191","160,043","134,714","125,727","110,808","97,989","80,191","72,770","84,978","87,172","86,360","87,374","88,306","84,933","79,724","79,031","74,630","74,149","71,049","66,879","64,849","64,298","61,559","58,406","55,545","51,819","50,028","45,570","41,640","38,021","37,527","35,584","30,102","26,024","23,750","22,215","18,526","17,255","16,134","14,279","12,858","10,305","8,424","6,777","5,230","4,206","3,348","2,577","1,786","1,350",997,734,515,309,235,156,380,,,,,,,,,,,,,,,,,,,
八十六年 1997,計,T.,"21,742,815","307,406","321,051","323,206","321,548","325,883","320,217","318,601","335,331","311,082","341,784","309,311","301,128","338,325","363,970","375,437","395,944","406,148","401,135","410,661","398,365","379,321","413,124","356,574","351,448","351,106","351,465","363,204","374,195","376,813","376,993","360,882","388,566","384,148","391,477","397,465","392,438","387,730","384,501","381,541","369,701","351,477","363,691","355,695","337,241","324,766","318,440","322,830","272,746","254,431","223,992","197,605","161,293","145,321","170,251","174,081","171,352","173,488","173,400","165,319","155,535","153,847","145,345","144,370","139,946","135,072","135,324","138,732","138,631","132,607","127,643","119,804","114,419","105,313","92,150","82,318","79,609","74,290","61,652","52,570","46,147","41,987","34,517","31,065","28,494","24,486","22,531","15,727","12,712","9,991","7,360","5,927","4,454","3,404","2,360","1,713","1,268",898,589,364,283,717,,,,,,,,,,,,,,,,,,,
,男,M.,"11,163,764","160,299","167,267","167,735","167,461","169,209","167,526","167,026","175,710","161,893","177,567","160,601","155,578","174,346","187,936","193,481","203,947","209,004","205,796","211,105","204,627","193,976","211,944","182,473","179,944","180,271","179,185","185,513","191,135","192,271","192,798","184,630","197,984","195,561","199,844","202,454","200,191","197,486","196,152","193,766","187,745","178,089","184,615","180,806","170,910","164,496","161,580","163,001","138,259","128,863","113,400","99,712","81,222","72,817","85,457","87,263","85,266","86,406","85,507","80,794","76,322","75,190","71,241","70,799","69,498","68,934","71,146","75,192","77,903","75,060","73,021","68,912","65,366","60,813","51,604","45,435","43,358","40,073","32,846","27,799","23,813","21,139","17,366","15,164","13,774","11,622","11,045","6,552","5,301","4,156","2,923","2,418","1,714","1,286",908,625,516,310,208,128,109,275,,,,,,,,,,,,,,,,,,,
,女,F.,"10,579,051","147,107","153,784","155,471","154,087","156,674","152,691","151,575","159,621","149,189","164,217","148,710","145,550","163,979","176,034","181,956","191,997","197,144","195,339","199,556","193,738","185,345","201,180","174,101","171,504","170,835","172,280","177,691","183,060","184,542","184,195","176,252","190,582","188,587","191,633","195,011","192,247","190,244","188,349","187,775","181,956","173,388","179,076","174,889","166,331","160,270","156,860","159,829","134,487","125,568","110,592","97,893","80,071","72,504","84,794","86,818","86,086","87,082","87,893","84,525","79,213","78,657","74,104","73,571","70,448","66,138","64,178","63,540","60,728","57,547","54,622","50,892","49,053","44,500","40,546","36,883","36,251","34,217","28,806","24,771","22,334","20,848","17,151","15,901","14,720","12,864","11,486","9,175","7,411","5,835","4,437","3,509","2,740","2,118","1,452","1,088",752,588,381,236,174,442,,,,,,,,,,,,,,,,,,,
八十七年 1998,計,T.,"21,928,591","254,776","322,470","322,134","324,123","322,386","326,628","320,862","319,169","335,645","311,368","342,033","309,642","301,356","338,566","364,242","375,756","395,979","406,084","401,099","410,360","398,417","379,496","413,504","356,931","351,922","351,727","352,174","364,089","375,140","377,697","377,740","361,495","388,973","384,536","391,772","397,709","392,645","387,765","384,334","381,414","369,550","351,211","363,269","355,205","336,780","324,250","317,938","322,250","272,099","253,847","223,411","196,954","160,628","144,734","169,464","173,196","170,357","172,365","172,079","163,948","154,113","152,248","143,711","142,605","137,990","133,062","133,037","136,181","135,810","129,648","124,511","116,614","111,127","101,996","88,828","79,156","75,977","70,689","58,338","49,410","42,999","38,862","31,733","28,251","25,584","21,800","19,925","13,669","10,878","8,504","6,111","4,815","3,584","2,745","1,834","1,313",980,727,456,274,803,,,,,,,,,,,,,,,,,,,
,男,M.,"11,243,408","132,759","168,132","167,791","168,195","167,876","169,550","167,867","167,300","175,876","162,048","177,688","160,749","155,664","174,459","188,078","193,590","203,859","208,832","205,619","210,618","204,503","193,869","211,795","182,302","179,808","180,194","179,172","185,609","191,299","192,491","192,936","184,793","197,987","195,568","199,808","202,357","200,073","197,287","195,823","193,495","187,470","177,747","184,140","180,292","170,407","164,003","161,027","162,435","137,655","128,298","112,884","99,177","80,731","72,351","84,854","86,576","84,567","85,586","84,589","79,857","75,369","74,116","70,169","69,692","68,242","67,636","69,621","73,522","76,045","73,074","70,842","66,715","63,179","58,640","49,424","43,421","41,093","37,801","30,836","25,873","21,936","19,393","15,789","13,624","12,229","10,207","9,712","5,639","4,500","3,477","2,424","1,944","1,377","1,019",721,490,421,255,159,98,319,,,,,,,,,,,,,,,,,,,
,女,F.,"10,685,183","122,017","154,338","154,343","155,928","154,510","157,078","152,995","151,869","159,769","149,320","164,345","148,893","145,692","164,107","176,164","182,166","192,120","197,252","195,480","199,742","193,914","185,627","201,709","174,629","172,114","171,533","173,002","178,480","183,841","185,206","184,804","176,702","190,986","188,968","191,964","195,352","192,572","190,478","188,511","187,919","182,080","173,464","179,129","174,913","166,373","160,247","156,911","159,815","134,444","125,549","110,527","97,777","79,897","72,383","84,610","86,620","85,790","86,779","87,490","84,091","78,744","78,132","73,542","72,913","69,748","65,426","63,416","62,659","59,765","56,574","53,669","49,899","47,948","43,356","39,404","35,735","34,884","32,888","27,502","23,537","21,063","19,469","15,944","14,627","13,355","11,593","10,213","8,030","6,378","5,027","3,687","2,871","2,207","1,726","1,113",823,559,472,297,176,484,,,,,,,,,,,,,,,,,,,
八十八年  1999,計,T.,"22,092,387","270,217","266,825","323,186","322,518","324,475","322,724","326,895","320,956","319,149","335,554","311,257","341,884","309,603","301,105","338,248","364,034","375,231","395,042","405,503","400,442","409,907","398,378","379,607","413,692","357,173","352,079","351,986","352,447","364,274","375,273","377,757","377,805","361,294","388,661","384,147","391,343","397,149","391,999","386,991","383,602","380,599","368,646","350,256","362,236","354,143","335,691","323,148","316,804","321,120","271,018","252,758","222,402","195,884","159,689","143,810","168,367","172,072","169,004","170,919","170,465","162,387","152,353","150,443","141,750","140,539","135,969","130,784","130,547","133,404","132,726","126,341","121,099","113,027","107,393","98,048","85,055","75,499","72,272","66,775","54,806","45,978","39,712","35,679","28,793","25,457","22,680","19,260","17,256","11,694","9,168","7,060","5,030","3,941","2,859","2,156","1,448","1,036",750,551,353,866,,,,,,,,,,,,,,,,,,,
,男,M.,"11,312,728","141,105","138,951","168,482","167,969","168,396","168,027","169,704","167,900","167,281","175,819","161,977","177,601","160,724","155,523","174,286","187,929","193,187","203,151","208,407","205,018","210,229","204,355","193,798","211,634","182,140","179,624","179,994","179,023","185,438","191,131","192,326","192,781","184,499","197,670","195,230","199,411","201,881","199,548","196,693","195,273","192,892","186,760","177,045","183,388","179,518","169,639","163,148","160,167","161,558","136,845","127,468","112,159","98,392","80,069","71,716","84,080","85,779","83,676","84,633","83,505","78,805","74,245","72,950","68,949","68,375","66,941","66,166","68,011","71,706","73,988","70,904","68,597","64,340","60,749","56,085","46,997","41,049","38,755","35,425","28,683","23,852","20,010","17,580","14,167","12,101","10,693","8,941","8,329","4,755","3,758","2,844","1,967","1,597","1,088",815,570,395,324,203,119,348,,,,,,,,,,,,,,,,,,,
,女,F.,"10,779,659","129,112","127,874","154,704","154,549","156,079","154,697","157,191","153,056","151,868","159,735","149,280","164,283","148,879","145,582","163,962","176,105","182,044","191,891","197,096","195,424","199,678","194,023","185,809","202,058","175,033","172,455","171,992","173,424","178,836","184,142","185,431","185,024","176,795","190,991","188,917","191,932","195,268","192,451","190,298","188,329","187,707","181,886","173,211","178,848","174,625","166,052","160,000","156,637","159,562","134,173","125,290","110,243","97,492","79,620","72,094","84,287","86,293","85,328","86,286","86,960","83,582","78,108","77,493","72,801","72,164","69,028","64,618","62,536","61,698","58,738","55,437","52,502","48,687","46,644","41,963","38,058","34,450","33,517","31,350","26,123","22,126","19,702","18,099","14,626","13,356","11,987","10,319","8,927","6,939","5,410","4,216","3,063","2,344","1,771","1,341",878,641,426,348,234,518,,,,,,,,,,,,,,,,,,,
"八十九年
 2000",計,T.,"22,276,672","292,724","282,482","267,563","323,612","322,861","324,914","323,006","327,157","320,997","319,084","335,510","311,214","341,683","309,456","300,830","338,048","363,559","374,369","394,472","404,915","400,070","409,593","398,433","379,879","413,812","357,407","352,275","352,108","352,711","364,377","375,631","377,747","377,763","361,097","388,287","383,805","390,803","396,453","391,295","386,097","382,804","379,560","367,498","349,247","361,068","352,891","334,389","321,928","315,412","319,829","269,912","251,510","221,301","194,737","158,729","142,902","167,220","170,738","167,666","169,400","168,906","160,772","150,536","148,623","139,687","138,496","133,747","128,398","127,950","130,451","129,461","122,901","117,475","109,250","103,535","94,062","81,148","71,805","68,312","62,842","51,094","42,641","36,502","32,499","25,985","22,673","20,060","16,822","14,841","9,869","7,668","5,823","4,050","3,165","2,253","1,656","1,107",807,578,416,966,,,,,,,,,,,,,,,,,,,
,男,M.,"11,392,050","153,054","147,570","139,279","168,683","168,112","168,607","168,183","169,805","167,917","167,261","175,781","161,943","177,475","160,622","155,339","174,129","187,575","192,502","202,731","207,931","204,585","209,935","204,213","193,730","211,372","181,966","179,418","179,801","178,831","185,223","190,992","192,049","192,520","184,177","197,292","194,903","198,941","201,327","198,994","196,046","194,691","192,152","185,971","176,267","182,499","178,683","168,685","162,224","159,209","160,585","136,067","126,555","111,376","97,572","79,362","71,046","83,317","84,864","82,727","83,620","82,460","77,760","73,061","71,778","67,682","67,072","65,554","64,617","66,361","69,787","71,814","68,606","66,246","61,821","58,171","53,427","44,516","38,690","36,309","33,039","26,453","21,909","18,165","15,801","12,592","10,629","9,341","7,686","7,092","3,962","3,108","2,330","1,590","1,278",862,626,443,322,258,158,388,,,,,,,,,,,,,,,,,,,
,女,F.,"10,884,622","139,670","134,912","128,284","154,929","154,749","156,307","154,823","157,352","153,080","151,823","159,729","149,271","164,208","148,834","145,491","163,919","175,984","181,867","191,741","196,984","195,485","199,658","194,220","186,149","202,440","175,441","172,857","172,307","173,880","179,154","184,639","185,698","185,243","176,920","190,995","188,902","191,862","195,126","192,301","190,051","188,113","187,408","181,527","172,980","178,569","174,208","165,704","159,704","156,203","159,244","133,845","124,955","109,925","97,165","79,367","71,856","83,903","85,874","84,939","85,780","86,446","83,012","77,475","76,845","72,005","71,424","68,193","63,781","61,589","60,664","57,647","54,295","51,229","47,429","45,364","40,635","36,632","33,115","32,003","29,803","24,641","20,732","18,337","16,698","13,393","12,044","10,719","9,136","7,749","5,907","4,560","3,493","2,460","1,887","1,391","1,030",664,485,320,258,578,,,,,,,,,,,,,,,,,,,
"九　十年
 2001",計,T.,"22,405,568","246,381","306,271","282,885","267,579","323,643","323,039","325,005","323,042","326,984","320,894","319,041","335,491","311,008","341,479","309,142","300,567","337,378","362,692","373,793","393,917","404,432","399,759","409,605","398,535","380,041","414,078","357,483","352,313","352,224","352,645","364,420","375,400","377,552","377,477","360,661","387,760","383,043","389,998","395,698","390,321","385,102","381,704","378,324","366,200","348,025","359,813","351,530","332,988","320,604","313,950","318,421","268,512","250,060","219,969","193,563","157,680","141,811","165,858","169,344","166,042","167,784","167,095","158,876","148,649","146,631","137,715","136,119","131,364","125,699","125,130","127,326","125,910","119,257","113,621","105,233","99,410","89,845","77,237","67,879","64,266","58,669","47,302","39,194","33,289","29,394","23,287","20,072","17,549","14,604","12,693","8,281","6,360","4,751","3,306","2,524","1,787","1,270",852,598,441,"1,123",,,,,,,,,,,,,,,,,,,
,男,M.,"11,441,651","128,338","159,929","147,749","139,287","168,672","168,186","168,643","168,213","169,703","167,878","167,203","175,746","161,818","177,346","160,454","155,144","173,698","186,921","192,118","202,289","207,421","204,234","209,722","203,999","193,483","211,206","181,702","179,185","179,510","178,491","184,966","190,659","191,736","192,175","183,781","196,846","194,367","198,344","200,784","198,257","195,402","193,913","191,317","185,093","175,402","181,622","177,782","167,715","161,300","158,167","159,614","135,054","125,578","110,419","96,745","78,668","70,314","82,437","83,904","81,680","82,538","81,294","76,535","71,829","70,535","66,425","65,640","64,065","62,887","64,522","67,777","69,467","66,205","63,695","59,175","55,490","50,641","41,983","36,174","33,822","30,494","24,238","19,880","16,331","14,068","11,137","9,277","8,053","6,609","6,020","3,285","2,554","1,874","1,303","1,029",704,482,345,252,211,477,,,,,,,,,,,,,,,,,,,
,女,F.,"10,963,917","118,043","146,342","135,136","128,292","154,971","154,853","156,362","154,829","157,281","153,016","151,838","159,745","149,190","164,133","148,688","145,423","163,680","175,771","181,675","191,628","197,011","195,525","199,883","194,536","186,558","202,872","175,781","173,128","172,714","174,154","179,454","184,741","185,816","185,302","176,880","190,914","188,676","191,654","194,914","192,064","189,700","187,791","187,007","181,107","172,623","178,191","173,748","165,273","159,304","155,783","158,807","133,458","124,482","109,550","96,818","79,012","71,497","83,421","85,440","84,362","85,246","85,801","82,341","76,820","76,096","71,290","70,479","67,299","62,812","60,608","59,549","56,443","53,052","49,926","46,058","43,920","39,204","35,254","31,705","30,444","28,175","23,064","19,314","16,958","15,326","12,150","10,795","9,496","7,995","6,673","4,996","3,806","2,877","2,003","1,495","1,083",788,507,346,230,646,,,,,,,,,,,,,,,,,,,
